Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
SamHilliard,Rockies,27,87,7,13,13,2,10.30%,26.40%,0.377,0.298,0.273,0.356,0.649,0.407,138,90.8,0.7,5,-2.2,0.6,17954
RandalGrichuk,Blue Jays,151,628,31,75,80,2,5.60%,26.00%,0.225,0.266,0.232,0.28,0.457,0.307,90,89.3,-3.8,-12.1,-4.5,0.5,10243
AddisonRussell,Cubs,82,241,9,25,23,2,8.30%,24.10%,0.153,0.28,0.237,0.308,0.391,0.297,80,86.9,0.6,-5.6,3.3,0.5,14106
WilMyers,Padres,155,490,18,58,53,16,10.40%,34.30%,0.179,0.344,0.239,0.321,0.418,0.316,96,90.2,-0.6,-3.3,-7.1,0.5,10047
FranciscoMejia,Padres,79,244,8,27,22,1,5.30%,23.00%,0.173,0.319,0.265,0.316,0.438,0.317,96,88.4,-1.2,-2.4,-0.1,0.5,16403
PedroSeverino,Orioles,96,341,13,37,44,3,8.50%,21.40%,0.17,0.285,0.249,0.321,0.42,0.316,94,87.6,-2.1,-4.8,-2,0.5,14523
MagneurisSierra,Marlins,15,42,0,5,1,3,4.80%,16.70%,0.075,0.424,0.35,0.381,0.425,0.347,117,86.9,-0.2,0.7,3.2,0.5,17023
WillieCalhoun,Rangers,83,337,21,51,48,0,6.80%,15.70%,0.256,0.262,0.269,0.323,0.524,0.351,110,89.7,-2.2,2.2,-9,0.5,17838
BrandonWoodruff,Brewers,27,49,0,1,4,0,2.00%,40.80%,0.089,0.48,0.267,0.283,0.356,0.272,63,88.2,0,-2.4,6,0.5,16162
KyleTucker,Astros,22,72,4,15,11,5,5.60%,27.80%,0.269,0.326,0.269,0.319,0.537,0.349,122,92,0.7,2.7,-0.1,0.5,18345
NomarMazara,Rangers,116,469,19,69,66,4,6.00%,23.00%,0.2,0.312,0.268,0.318,0.469,0.327,94,89.1,-0.1,-3.6,-8.1,0.5,14553
MaxFried,Braves,40,65,0,11,4,0,7.70%,24.60%,0.071,0.275,0.196,0.262,0.268,0.236,39,86.5,0,-5.2,8,0.5,13743
AlexDickerson,- - -,68,190,6,29,28,1,6.80%,22.10%,0.213,0.331,0.276,0.332,0.489,0.341,113,89.9,-0.7,2.5,-3.8,0.5,12649
KyleLewis,Mariners,18,75,6,10,13,0,4.00%,38.70%,0.324,0.351,0.268,0.293,0.592,0.357,127,90.4,0.8,3.4,-1.2,0.5,19508
NateLowe,Rays,50,169,7,24,19,0,7.70%,29.60%,0.191,0.34,0.263,0.325,0.454,0.328,107,91.3,1.3,2.9,-4.1,0.5,19566
KentaMaeda,Dodgers,41,61,0,3,6,0,0.00%,21.30%,0.042,0.343,0.25,0.25,0.292,0.232,42,82.8,0,-4.7,7.5,0.5,18498
